starttime,Broadway/35th,Queens College,Cross Bronx Expy,Queensboro Bridge,Williamsburg Br,Manhattan Br
10/19/2021 0:00,2.796912,2.52744,3.528336,2.758416,3.711192,3.422472
10/19/2021 1:00,3.0775875,2.52825,3.2703375,2.75955,3.588375,3.0775875
10/19/2021 2:00,2.991822,2.605962,3.68637,2.895357,4.0625835,3.821421
10/19/2021 3:00,3.282459,2.7900285,3.996966,3.5238465,4.730784,5.0107935
10/19/2021 4:00,3.8539065,3.1387335,4.868679,3.1000755,4.0665255,4.84935
10/19/2021 5:00,4.3393545,4.1071905,4.7456415,3.284943,5.8290735,6.78675
10/19/2021 6:00,7.640664,3.169428,5.201808,4.582416,5.588928,6.808356
10/19/2021 7:00,6.415707,4.972344,4.972344,4.546116,5.72793,6.512577
10/19/2021 8:00,5.110896,4.073424,6.36168,5.033328,6.94344,6.982224
10/19/2021 9:00,5.586,4.257648,5.1012,4.461264,13.022832,7.108272
10/19/2021 10:00,5.24817,4.122912,5.1220635,4.1132115,6.625641,7.304676
10/19/2021 11:00,5.771997,4.0938105,5.2966725,4.3848255,6.179418,8.0710155
10/19/2021 12:00,6.148368,4.723056,4.8588,4.897584,6.885264,7.147056
10/19/2021 13:00,5.8907775,5.16459,4.77729,4.409355,6.5685525,5.997285
10/19/2021 14:00,5.31168,3.90132,4.54854,4.38432,6.06516,6.09414
10/19/2021 15:00,4.663968,3.740064,4.250136,4.40412,5.684112,5.712984
10/19/2021 16:00,5.171568,3.982656,4.567524,4.912692,6.12078,6.628944
10/19/2021 17:00,5.0911275,4.43235,4.66149,5.88357,7.33479,8.766915
10/19/2021 18:00,5.758698,4.89438,3.583656,6.528036,9.367938,9.291954
10/19/2021 19:00,5.688042,5.499252,3.988932,7.179483,7.9818405,8.9257905
10/19/2021 20:00,5.569329,6.113166,5.419305,5.8412475,7.7915595,7.838442
10/19/2021 21:00,5.39766,5.453568,4.195638,5.44425,6.478548,6.730134
10/19/2021 22:00,4.754265,4.80054,4.957875,5.198505,10.899585,5.76306
10/19/2021 23:00,4.52376,4.413456,4.358304,4.643256,8.1546,5.746296
10/20/2021 0:00,4.4799795,4.4982465,5.4481305,4.361244,5.493798,5.457264
10/20/2021 1:00,4.6466115,4.4105445,8.160378,4.655691,5.618118,5.2095405
10/20/2021 2:00,4.45131,4.5687,6.43791,4.50549,5.59812,5.21886
10/20/2021 3:00,4.4375985,4.428618,7.3293195,4.7968185,5.5511805,5.632005
10/20/2021 4:00,4.79292,4.56942,7.46598,4.73034,6.0624,6.39318
10/20/2021 5:00,4.869036,4.8245385,7.3163985,4.5397545,6.9070215,8.2953435
10/20/2021 6:00,5.732793,5.927691,6.893322,4.731726,8.346198,8.833443
10/20/2021 7:00,6.462768,6.462768,7.969962,5.969184,8.69271,9.212736
10/20/2021 8:00,7.6206315,7.769628,6.9895875,6.33225,8.6022555,10.030869
10/20/2021 9:00,7.0509075,7.042188,7.2252975,6.623652,9.919623,11.1141945
10/20/2021 10:00,6.30234,7.31673,7.22136,6.12894,8.40048,10.62867
10/20/2021 11:00,6.725757,6.77748,6.9757515,5.674056,8.691231,9.380871
10/20/2021 12:00,6.9100035,6.4645455,6.113319,5.9676885,7.980816,8.8460325
10/20/2021 13:00,6.6233625,5.2954125,5.8998,5.4912,8.027925,7.6278375
10/20/2021 14:00,6.613113,4.810494,5.402904,5.546775,7.755618,7.36632
10/20/2021 15:00,5.28531,4.47675,5.201085,4.10616,7.9215525,7.84575
10/20/2021 16:00,8.7201165,4.2011265,5.6237715,4.6530255,7.5485265,9.0548565
10/20/2021 17:00,7.715067,5.11122,6.092862,7.19097,9.295677,10.368828
10/20/2021 18:00,7.08267,7.2234045,8.4982935,8.158875,8.9950035,13.0680255
10/20/2021 19:00,6.6451035,7.0246725,6.8596425,6.851391,8.732733,11.4309735
10/20/2021 20:00,6.13398,6.81624,6.81624,6.85734,8.55066,8.51778
10/20/2021 21:00,5.87832,6.033816,7.130472,5.984712,8.677248,7.613328
10/20/2021 22:00,5.441196,5.555394,7.072596,5.473824,7.684371,7.056282
10/20/2021 23:00,5.6349285,5.8301565,7.8963195,5.5861215,7.595343,8.7911145
10/21/2021 0:00,5.2659675,6.1415775,7.641465,5.9145675,7.62525,8.581935
10/21/2021 1:00,5.41038,6.226965,7.04355,5.60442,7.22142,7.88439
10/21/2021 2:00,5.410743,6.620793,7.137081,5.612418,7.467828,8.209992
10/21/2021 3:00,5.443266,6.803547,7.688937,6.545979,7.785525,8.775552
10/21/2021 4:00,5.4575805,7.1431455,7.9297425,6.2120715,8.435412,9.687546
10/21/2021 5:00,5.7220035,8.260698,8.6531145,5.9622585,9.1976925,10.487061
10/21/2021 6:00,6.1521,9.321684,8.529288,6.19212,11.386716,12.731388
10/21/2021 7:00,7.33863,10.18485,9.505275,7.490535,12.239565,13.598715
10/21/2021 8:00,7.926894,9.14145,9.509013,8.4462765,14.0076645,16.364862
10/21/2021 9:00,8.726625,6.5341875,9.4680675,8.1127425,15.12057,17.09775
10/21/2021 10:00,7.931784,7.5738315,9.490866,8.2101915,11.622672,12.9988005
10/21/2021 11:00,7.997613,8.997612,8.1960255,6.8626935,8.4658665,10.727769
10/21/2021 12:00,8.6091,6.817485,8.0145375,6.3814725,7.7450025,9.3305025
10/21/2021 13:00,7.102875,6.6985725,7.388265,6.310125,7.9035525,10.03605
10/21/2021 14:00,8.95791,5.3508975,7.49925,7.2534975,9.9329925,15.3554025
10/21/2021 15:00,10.0055475,5.4817425,6.949995,6.9738045,13.1642745,9.1801515
10/21/2021 16:00,8.818617,6.120516,7.815783,7.44171,15.424587,9.662271
10/21/2021 17:00,36.133359,6.8641575,9.1654215,7.9348845,10.627683,11.139075
10/21/2021 18:00,10.45809,7.664868,11.951019,8.387253,10.730991,10.6266465
10/21/2021 19:00,9.870216,10.151931,10.15998,7.391124,10.087539,10.151931
10/21/2021 20:00,9.86448,10.074456,11.754264,8.919588,11.11626,11.818872
10/21/2021 21:00,8.011044,9.437172,10.855197,8.853756,10.855197,10.855197
10/21/2021 22:00,7.86864,9.31578,10.35642,8.59221,10.14504,10.38081
10/21/2021 23:00,7.91763,8.92854,12.1487775,8.40678,10.5508875,10.575345
10/22/2021 0:00,7.702032,8.64981,10.5371955,8.6252985,10.169523,10.643412
10/22/2021 1:00,7.654248,8.4972,9.962136,7.997976,9.68388,10.535016
10/22/2021 2:00,7.51818,8.271522,10.2121965,8.091375,9.8846565,10.95735
10/22/2021 3:00,7.233957,8.0600865,10.080423,8.068266,9.8595765,10.8574755
10/22/2021 4:00,6.375972,7.551876,9.879186,7.004754,9.193242,10.703952
10/22/2021 5:00,6.1974525,6.8496525,8.879625,6.1322325,8.63505,9.792705
10/22/2021 6:00,6.5134545,6.6273375,8.506407,7.465191,8.099682,9.2954535
10/22/2021 7:00,6.2483895,6.8496765,7.8734895,6.727794,8.0847525,8.6697885
10/22/2021 8:00,5.60445,5.774991,7.967661,5.945532,8.032629,8.519889
10/22/2021 9:00,5.24265,7.74669,6.55971,4.97436,7.03125,7.29954
10/22/2021 10:00,5.5249965,5.907741,5.891454,4.3523325,6.640656,6.494073
10/22/2021 11:00,5.05308,6.653616,5.224566,4.138488,7.078248,6.718944
10/22/2021 12:00,6.275904,5.178042,4.73562,4.293198,6.333255,7.775223
10/22/2021 13:00,5.975595,4.2914175,5.186907,4.57896,6.3617235,8.0705475
10/22/2021 14:00,4.663263,4.168443,9.966084,4.67151,5.751867,7.714653
10/22/2021 15:00,5.148555,4.140225,5.52048,4.503885,5.727105,8.140485
10/22/2021 16:00,5.710482,4.244391,4.468032,5.503407,7.855779,6.778989
10/22/2021 17:00,4.737624,4.3974675,4.754217,5.003112,7.541841,7.0523475
10/22/2021 18:00,5.129283,4.257678,4.564815,4.622922,7.34565,6.43254
10/22/2021 19:00,5.14935,4.26849,4.39314,4.56765,7.6839,5.94711
10/22/2021 20:00,4.69824,3.632256,4.939752,4.498368,8.004456,5.680944
10/22/2021 21:00,4.605459,3.970821,4.3966965,3.7286565,7.9206075,4.9311285
10/22/2021 22:00,4.562376,4.71309,4.704717,3.532497,7.601775,4.554003
10/22/2021 23:00,4.1172,3.7728,4.2684,3.3612,5.7048,4.2348
10/23/2021 0:00,3.720615,3.1894305,4.243368,3.653163,7.599105,4.7239635
10/23/2021 1:00,3.634137,3.109431,3.964194,3.625674,5.199792,4.480437
10/23/2021 2:00,3.496818,3.088866,4.474203,3.13986,5.630067,4.100247
10/23/2021 3:00,3.266469,3.0356595,3.728088,3.386148,4.326483,4.3863225
10/23/2021 4:00,3.507867,2.965626,3.714435,3.404583,4.721454,4.127571
10/23/2021 5:00,3.4664625,2.9465325,3.9863925,3.3451455,4.584312,4.8009495
10/23/2021 6:00,3.4767,3.293496,3.712248,3.380736,5.474496,4.200792
10/23/2021 7:00,3.724065,3.583545,3.7065,3.618675,6.007515,4.72527
10/23/2021 8:00,4.1502885,3.805665,4.0619235,3.6907905,6.244539,4.795353
10/23/2021 9:00,4.751925,4.0848,4.06701,4.271595,7.14468,6.77109
10/23/2021 10:00,5.828814,4.986762,4.36866,4.99572,8.256432,8.686416
10/23/2021 11:00,6.9230505,5.397741,4.83816,5.5511745,8.8364565,7.491657
