starttime,location,value
10/19/2021 0:00,Broadway/35th St,2.796912
10/19/2021 0:00,Queens College,2.52744
10/19/2021 0:00,Cross Bronx Expy,3.528336
10/19/2021 0:00,Queensboro Bridge,2.758416
10/19/2021 0:00,Williamsburg Bridge,3.711192
10/19/2021 0:00,Manhattan Bridge,3.422472
10/19/2021 1:00,Broadway/35th St,3.0775875
10/19/2021 1:00,Queens College,2.52825
10/19/2021 1:00,Cross Bronx Expy,3.2703375
10/19/2021 1:00,Queensboro Bridge,2.75955
10/19/2021 1:00,Williamsburg Bridge,3.588375
10/19/2021 1:00,Manhattan Bridge,3.0775875
10/19/2021 2:00,Broadway/35th St,2.991822
10/19/2021 2:00,Queens College,2.605962
10/19/2021 2:00,Cross Bronx Expy,3.68637
10/19/2021 2:00,Queensboro Bridge,2.895357
10/19/2021 2:00,Williamsburg Bridge,4.0625835
10/19/2021 2:00,Manhattan Bridge,3.821421
10/19/2021 3:00,Broadway/35th St,3.282459
10/19/2021 3:00,Queens College,2.7900285
10/19/2021 3:00,Cross Bronx Expy,3.996966
10/19/2021 3:00,Queensboro Bridge,3.5238465
10/19/2021 3:00,Williamsburg Bridge,4.730784
10/19/2021 3:00,Manhattan Bridge,5.0107935
10/19/2021 4:00,Broadway/35th St,3.8539065
10/19/2021 4:00,Queens College,3.1387335
10/19/2021 4:00,Cross Bronx Expy,4.868679
10/19/2021 4:00,Queensboro Bridge,3.1000755
10/19/2021 4:00,Williamsburg Bridge,4.0665255
10/19/2021 4:00,Manhattan Bridge,4.84935
10/19/2021 5:00,Broadway/35th St,4.3393545
10/19/2021 5:00,Queens College,4.1071905
10/19/2021 5:00,Cross Bronx Expy,4.7456415
10/19/2021 5:00,Queensboro Bridge,3.284943
10/19/2021 5:00,Williamsburg Bridge,5.8290735
10/19/2021 5:00,Manhattan Bridge,6.78675
10/19/2021 6:00,Broadway/35th St,7.640664
10/19/2021 6:00,Queens College,3.169428
10/19/2021 6:00,Cross Bronx Expy,5.201808
10/19/2021 6:00,Queensboro Bridge,4.582416
10/19/2021 6:00,Williamsburg Bridge,5.588928
10/19/2021 6:00,Manhattan Bridge,6.808356
10/19/2021 7:00,Broadway/35th St,6.415707
10/19/2021 7:00,Queens College,4.972344
10/19/2021 7:00,Cross Bronx Expy,4.972344
10/19/2021 7:00,Queensboro Bridge,4.546116
10/19/2021 7:00,Williamsburg Bridge,5.72793
10/19/2021 7:00,Manhattan Bridge,6.512577
10/19/2021 8:00,Broadway/35th St,5.110896
10/19/2021 8:00,Queens College,4.073424
10/19/2021 8:00,Cross Bronx Expy,6.36168
10/19/2021 8:00,Queensboro Bridge,5.033328
10/19/2021 8:00,Williamsburg Bridge,6.94344
10/19/2021 8:00,Manhattan Bridge,6.982224
10/19/2021 9:00,Broadway/35th St,5.586
10/19/2021 9:00,Queens College,4.257648
10/19/2021 9:00,Cross Bronx Expy,5.1012
10/19/2021 9:00,Queensboro Bridge,4.461264
10/19/2021 9:00,Williamsburg Bridge,13.022832
10/19/2021 9:00,Manhattan Bridge,7.108272
10/19/2021 10:00,Broadway/35th St,5.24817
10/19/2021 10:00,Queens College,4.122912
10/19/2021 10:00,Cross Bronx Expy,5.1220635
10/19/2021 10:00,Queensboro Bridge,4.1132115
10/19/2021 10:00,Williamsburg Bridge,6.625641
10/19/2021 10:00,Manhattan Bridge,7.304676
10/19/2021 11:00,Broadway/35th St,5.771997
10/19/2021 11:00,Queens College,4.0938105
10/19/2021 11:00,Cross Bronx Expy,5.2966725
10/19/2021 11:00,Queensboro Bridge,4.3848255
10/19/2021 11:00,Williamsburg Bridge,6.179418
10/19/2021 11:00,Manhattan Bridge,8.0710155
10/19/2021 12:00,Broadway/35th St,6.148368
10/19/2021 12:00,Queens College,4.723056
10/19/2021 12:00,Cross Bronx Expy,4.8588
10/19/2021 12:00,Queensboro Bridge,4.897584
10/19/2021 12:00,Williamsburg Bridge,6.885264
10/19/2021 12:00,Manhattan Bridge,7.147056
10/19/2021 13:00,Broadway/35th St,5.8907775
10/19/2021 13:00,Queens College,5.16459
10/19/2021 13:00,Cross Bronx Expy,4.77729
10/19/2021 13:00,Queensboro Bridge,4.409355
10/19/2021 13:00,Williamsburg Bridge,6.5685525
10/19/2021 13:00,Manhattan Bridge,5.997285
10/19/2021 14:00,Broadway/35th St,5.31168
10/19/2021 14:00,Queens College,3.90132
10/19/2021 14:00,Cross Bronx Expy,4.54854
10/19/2021 14:00,Queensboro Bridge,4.38432
10/19/2021 14:00,Williamsburg Bridge,6.06516
10/19/2021 14:00,Manhattan Bridge,6.09414
10/19/2021 15:00,Broadway/35th St,4.663968
10/19/2021 15:00,Queens College,3.740064
10/19/2021 15:00,Cross Bronx Expy,4.250136
10/19/2021 15:00,Queensboro Bridge,4.40412
10/19/2021 15:00,Williamsburg Bridge,5.684112
10/19/2021 15:00,Manhattan Bridge,5.712984
10/19/2021 16:00,Broadway/35th St,5.171568
10/19/2021 16:00,Queens College,3.982656
10/19/2021 16:00,Cross Bronx Expy,4.567524
